transaction_id,rule_id,severity,weight,remarks,raw_score,transaction_timestamp,customer_id,customer_account,channel,device_id,amount,currency,is_new_beneficiary,beneficiary_account,entered_beneficiary_name,official_beneficiary_account_name,customer_account_balance
TX-002033,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-15T05:00:00+00:00,2134,PL362141530555443006869676,Web,WEB-SAFARI-DFAFA074,1295.97,EUR,False,DE297561428308648506934264,Aleksander Szymanski,Aleksy Szymanski,202471.24
TX-002110,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-15T14:00:00+00:00,2018,PL408612815720368501521173,Mobile,MOB-IOS-BEAABD22,2895.26,EUR,False,DE988936222518612298267528,Pierre Dubois,Jean Martin,223441.11
TX-002166,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-15T20:00:00+00:00,2210,PL960009240867350992045747,Mobile,MOB-ANDROID-3FC065CA,3375.93,EUR,True,DE265380485103151072148944,Lucja Pawlak,Lucyna Pawlak,443449.44
TX-002290,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-16T02:00:00+00:00,2130,PL325996135592181501370311,Web,WEB-FIREFOX-F4DF1EAB,642.39,EUR,False,DE466923741860502525130073,Aleksander Szymanski,Aleksy Szymanski,340484.85
TX-002291,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-16T02:00:00+00:00,2217,PL871721074251027062902789,Web,WEB-FIREFOX-14EBB336,326.76,EUR,True,DE857624692157795323053851,Magda Kaminska,Magdalena Kaminska,294272.67
TX-002390,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-16T08:00:00+00:00,2138,PL217044528191486329398133,Web,WEB-FIREFOX-2D575DCA,4663.41,EUR,False,DE882526957575191188943814,Peter Kaminski,Piotr Kaminski,138921.5
TX-002403,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-16T09:00:00+00:00,2287,PL724666780608485795177671,Mobile,MOB-IOS-EBE06AD4,3609.3,EUR,True,SA521615287323922417957052,Maria Zielińska,Anna Nowak,279974.48
TX-002456,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-16T13:00:00+00:00,2315,PL693137346369979398368988,Mobile,MOB-IOS-507FA1F6,7360.85,EUR,False,DE380205409846148893064434,James Wilson,David Brown,3354.0
TX-002472,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-16T15:00:00+00:00,2016,PL317766133116529029805051,Mobile,MOB-IOS-3ED68AB3,287.48,EUR,False,DE364398829844819820234717,Pierre Dubois,Jean Martin,129333.52
TX-002544,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-16T21:00:00+00:00,2136,PL347967761993857831030546,Mobile,MOB-IOS-9DEC3E64,3464.54,EUR,False,DE250843356592506444469122,Magda Kaminska,Magdalena Kaminska,288901.29
TX-002637,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-17T02:00:00+00:00,2281,PL273714320980239203612861,Mobile,MOB-IOS-0DFD4F3A,4461.42,EUR,True,TR155838844604077809982645,Sophie Laurent,Isabelle Moreau,411421.33
TX-002901,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-17T22:00:00+00:00,2019,PL067118359787964852360977,Mobile,MOB-IOS-C3ACDB4C,3858.03,EUR,False,DE877822402842802035615880,Pierre Dubois,Jean Martin,68090.88
TX-002925,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-17T23:00:00+00:00,2011,PL966929930693321629416919,Mobile,MOB-IOS-43328DB8,3638.99,EUR,False,DE316795514524383826437918,Agnieszka Pawlak,Joanna Wojciechowska,335638.26
TX-003005,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-18T03:00:00+00:00,2007,PL445898022735235406943961,Web,WEB-FIREFOX-DD3AD3F3,3673.5,EUR,False,DE589605131365109310809821,Maria Zielińska,Anna Nowak,359157.05
TX-003087,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-18T10:00:00+00:00,2002,PL977191129498342283650833,Corporate API,CORPAPI-CC2EA1AF,4501.85,EUR,False,DE263838510387282716377734,Hans Mueller,Johann Schmidt,322014.67
TX-003106,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-18T12:00:00+00:00,2126,PL598625585464749780607600,Web,WEB-FIREFOX-D48D300F,4250.2,EUR,False,DE436919297293730670489574,Janusz Mazurkiewicz,Jan Mazurkiewicz,84757.15
